segment,wape_baseline,bias_pct_baseline,wape_tuned,bias_pct_tuned,wape_delta,segment_type
overall,0.3160780203771475,0.03339810619348786,0.31217111349848814,0.05579183885881518,-0.003906906878659355,category
Accessories,0.30496959343568564,-0.037296606118491026,0.28177814329773826,0.011676387038173164,-0.023191450137947378,category
Bottoms,0.3332109228223697,0.14094571261567848,0.33283911902949337,0.15172788968427492,-0.00037180379287632404,category
Dresses,0.33731079874288233,-0.13823781964796017,0.32344681589802143,-0.12421171095313233,-0.0138639828448609,category
Footwear,0.29836894981561873,0.08728837594807509,0.3036534005408036,0.10973410827249326,0.005284450725184853,category
Outerwear,0.3005604999132216,0.06598178170423809,0.3026899057191915,0.09886423337334672,0.0021294058059699306,category
Tops,0.3521867812087831,-0.09207973920033061,0.33499392453720717,-0.0844341915512416,-0.01719285667157594,category
overall,0.3160780203771475,0.03339810619348786,0.31217111349848814,0.05579183885881518,-0.003906906878659355,abc_class
1.0,0.2913552130289581,-0.01287213541417968,0.28334826697117965,0.011236838442360324,-0.008006946057778463,abc_class
2.0,0.3555035220516326,0.07923017904355002,0.3496948076105867,0.08303550177627515,-0.005808714441045915,abc_class
3.0,0.38363508789152206,0.18637057615571914,0.3989433357739749,0.21912519652586593,0.01530824788245283,abc_class
overall,0.3160780203771475,0.03339810619348786,0.31217111349848814,0.05579183885881518,-0.003906906878659355,xyz_class
1,0.2740377934147551,-0.06823963242649202,0.25161195208880566,-0.04967960131006122,-0.022425841325949436,xyz_class
2,0.3065128741026199,0.019881183859552846,0.3025632490508482,0.04207285163793323,-0.00394962505177171,xyz_class
3,0.4039878739225504,0.18070184506496242,0.41049001968842685,0.20656220432277325,0.0065021457658764326,xyz_class
promo,0.3685741308318115,0.057733622810785507,0.35066756226201984,0.0825694407149709,-0.01790656856979167,promo_flag
no_promo,0.303024966336794,0.027347128116172317,0.30259904764979945,0.04913364111669242,-0.00042591868699454194,promo_flag
